model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_2_AutoML_1_20250820_11446,1.0,0.0527346345410907,1.0,0.0,0.0556482599659352,0.0030967288372363
XGBoost_1_AutoML_1_20250820_11446,1.0,0.0907302224252879,1.0,0.0,0.0885654651566998,0.0078438416184226
XGBoost_3_AutoML_1_20250820_11446,1.0,0.0262029629595388,1.0,0.0,0.0431368329456397,0.00186078635658
XGBoost_grid_1_AutoML_1_20250820_11446_model_1,1.0,0.0485010327767096,1.0,0.0,0.048050181408977,0.0023088199334356
GBM_1_AutoML_1_20250820_11446,1.0,0.0041643862806802,1.0,0.0,0.0396140369384357,0.0015692719225597
GBM_3_AutoML_1_20250820_11446,1.0,0.0012194705765969,1.0,0.0,0.0190619148180791,0.0003633565965317071
GBM_4_AutoML_1_20250820_11446,1.0,0.0023429350399399,1.0,0.0,0.0301613786944201,0.0009097087647482231
GBM_5_AutoML_1_20250820_11446,1.0,0.001028217799067,1.0,0.0,0.0168027826867155,0.00028233350601698803
XGBoost_grid_1_AutoML_1_20250820_11446_model_3,1.0,0.0311429909645262,1.0,0.0,0.0306630432605888,0.0009402222220007416
DRF_1_AutoML_1_20250820_11446,1.0,0.0016348161685166,1.0,0.0,0.024,0.000576
GLM_1_AutoML_1_20250820_11446,1.0,0.001004373214902,1.0,0.0,0.0033100345113631,1.0956328466415091e-05
XRT_1_AutoML_1_20250820_11446,1.0,0.0013990394698385,1.0,0.0,0.0214285714285714,0.00045918367346938784
StackedEnsemble_BestOfFamily_1_AutoML_1_20250820_11446,1.0,0.0013262581766707,1.0,0.0,0.0196333953359082,0.00038547021241606185
GBM_grid_1_AutoML_1_20250820_11446_model_1,1.0,0.0005519986981207441,1.0,0.0,0.009836699252069,9.676065217565634e-05
DeepLearning_1_AutoML_1_20250820_11446,1.0,0.0181575717760899,1.0,0.0,0.0260679857978671,0.0006795398835578023
DeepLearning_grid_1_AutoML_1_20250820_11446_model_1,1.0,0.039293246624425,1.0,0.0,0.1098343019402095,0.0120635738826931
StackedEnsemble_AllModels_1_AutoML_1_20250820_11446,1.0,0.0013063217768241,1.0,0.0,0.019394558757013,0.00037614890937923216
GBM_2_AutoML_1_20250820_11446,1.0,0.001686372553961,1.0,0.0,0.0244579398920282,0.0005981908237620654
XGBoost_grid_1_AutoML_1_20250820_11446_model_2,1.0,0.0249747073229129,1.0,0.0,0.0408413510892651,0.0016680159587966
GBM_grid_1_AutoML_1_20250820_11446_model_2,1.0,0.0057543920682309,1.0,0.0,0.0447017993568859,0.0019982508657432
DeepLearning_grid_3_AutoML_1_20250820_11446_model_1,0.9987,0.3790046902331368,0.9986728841564556,0.0125,0.260089118122536,0.0676463493657584
DeepLearning_grid_2_AutoML_1_20250820_11446_model_1,0.997375,0.4159303155921929,0.9974399076054206,0.025,0.2950918433273944,0.0870791959983595
